,ic,sc,ppol,nr
1900,210000000000.0,144000000000.0,25000000.0,1000000000000.0
1901,218439129770.29013,144020189431.7049,14663113.095238093,999717375000.0
1902,226954425370.5781,144609120368.0978,9248553.287981857,999428333889.1157
1903,235518268267.36502,145769717706.68362,6412355.293704782,999125277069.6726
1904,244242829308.09946,147435375837.80685,4956713.38226798,998809397097.5269
1905,253146259629.25333,149551760299.16333,4274943.998993926,998481039033.2705
1906,262234730455.30902,152069207361.9302,4058873.9339613877,998140346358.8528
1907,271512426411.50952,154942163846.71152,4150274.5151580353,997787422117.4484
1908,281011225381.637,158134589730.64944,4465320.302657719,997422011643.5696
1909,290762393007.0252,161617222585.20114,4956490.348795571,997043817369.4102
1910,300795204166.25653,165366827787.9476,5593655.71208228,996652499648.8215
1911,311137043984.55023,169365361390.3844,6354946.595475016,996247679436.5477
1912,321813739870.67535,173599201548.5343,7222532.837672032,995828940831.5186
1913,332849904127.6022,178058476546.11984,8180806.910936003,995395833173.2759
1914,344269247660.56116,182736489266.51132,9215694.237382345,994947872677.3042
1915,356105069140.89105,187629230391.7623,10314455.730216157,994484543648.161
1916,368387993793.74023,192735798975.14856,11465675.693097197,994005285575.9423
1917,381138214109.0431,198057768283.77866,12659294.340280838,993509496734.2948
1918,394375366935.2162,203597991562.98383,13886684.844264839,992996548221.1398
1919,408116037113.71405,209360367856.56128,15140700.460092247,992465784706.4728
1920,422380919432.9882,215349436650.99524,16415625.223871838,991916528539.8572
1921,437191882535.3598,221570618032.25616,17707069.311883453,991348074219.1202
1922,452571452688.08124,228030180878.1516,19011822.404966205,990759686810.5414
1923,468542825387.98553,234735171913.77252,20327712.5948975,990150601063.7987
1924,485129921135.47205,241693354348.596,21653475.407872565,989520020511.2974
1925,502357440552.5889,248913158646.4306,22988632.472064815,988867116492.4359
1926,520250915773.92505,256403643882.5992,24333379.899599098,988191027103.6923
1927,538836758562.4238,264174468047.8687,25688486.70882792,987490856079.5465
1928,558142305788.521,272235865883.2264,27055203.512206763,986765671608.648
1929,578195862839.2949,280598633050.0928,28435181.46108062,986014505088.7743
1930,599026745440.5841,289274115632.586,29830401.193106472,985236349823.3698
1931,620665320297.9802,298274204132.5398,31243111.321749635,984430159661.7976
1932,643143044893.8986,307611331256.9057,32675775.85556113,983594847584.8966
1933,666494206757.4359,317298046367.8311,34131029.83675198,982729284236.9769
1934,690753991248.6205,327347564814.9468,35611642.43638101,981832294117.0492
1935,715958690165.9962,337773813135.06024,37120486.72789547,980902654370.4938
1936,742145896103.8123,348591394603.8241,38660515.37274742,979939093299.9788
1937,769354562101.7897,359815579186.55664,40234739.82286355,978940288614.8057
1938,797625061214.481,371462301536.7745,41846213.75954279,977904865599.977
1939,826999242867.653,383548165040.1052,43498021.00504132,976831395205.0925
1940,857520487703.6875,396090450250.1246,45193267.46942694,975718392057.3998
1941,889233761806.208,409107126641.36505,46935076.49952858,974564312401.0319
1942,922185670899.5302,422616866951.6324,48726586.98712988,973367551963.2677
1943,956141843249.4977,436705276465.52264,50570953.65722881,972126443747.8488
1944,991293800381.6067,451354139997.44257,52471349.04197215,970839636183.8088
1945,1027675687250.8169,466566517060.0952,54430966.72968733,969505519944.1285
1946,1065330070627.8622,482348794935.2735,56453025.553056836,968122439748.3701
1947,1104312776587.6892,498710389764.00134,58541055.52834712,966688683028.3168
1948,1144675840267.003,515664125862.5849,60698829.70935152,965202462083.1592
1949,1186471545785.9614,533225392426.6106,62930222.83945797,963661919181.4666
1950,1229749906969.3093,551411711408.3934,65239116.97920966,962065126226.0963
1951,1274562879755.6733,570241884738.9966,67629337.65044928,960410087809.6334
1952,1320963477092.1052,589735922476.2998,70104620.16017875,958694738600.6289
1953,1369005892148.1152,609914915741.7573,72668598.24281529,956916941921.0425
1954,1418745511259.522,630800947540.0592,75324811.03099246,955074488157.8599
1955,1470238938297.633,652417022671.4598,78076718.7954162,953165093157.2898
1956,1523543999926.3584,674787012874.0144,80927722.40938812,951186396586.1642
1957,1578738784517.9717,697935611939.503,83881183.70179169,949135960286.2633
1958,1636029217927.9128,721889542781.5369,86940445.18992679,947011241005.4329
1959,1695395092668.4646,746687491196.6411,90108848.3963505,944809418349.6382
1960,1756917649888.0383,772359538385.3511,93389799.95887974,942527699120.7552
1961,1820639887435.747,798937522319.4214,96787168.35113809,940163180783.6143
1962,1886626702206.8816,826451317149.8419,100305155.2458069,937712902935.1069
1963,1954936077158.3145,854931154742.0104,103948230.68705297,935173817831.7202
1964,2025632093606.7842,884406940588.1729,107721003.8452095,932542799694.5447
1965,2098777836445.1902,914908838548.2767,111628138.17472103,929816636501.8989
1966,2174312613387.4434,946651624684.2119,115674278.32584918,926975069016.1963
1967,2252000185677.8726,980062861095.0796,119864006.60076173,923974126495.0343
1968,2331926757586.5366,1015051907220.6041,124201815.1510773,920808617780.3932
1969,2413655967797.436,1051554253735.387,128693239.1009537,917473093625.2683
1970,2497008840904.249,1089474010266.7833,133347604.81642795,913963152296.2172
1971,2582357708555.424,1128715658377.1057,138177884.34558854,910274783419.6791
1972,2669779643077.5635,1169239099652.251,143241836.6762115,906403012457.1375
1973,2759334818580.6733,1211019558289.3152,148598621.51080364,902342666806.8475
1974,2851072890332.3,1254041552145.1504,154244024.68249097,898088695969.8643
1975,2945040273517.329,1298297346581.771,160189657.16541767,893635962120.6378
1976,3041281394348.652,1343785601208.6487,166455533.7013361,888979169030.6956
1977,3139848869654.755,1390512167623.0977,173065528.84313184,884112451260.3273
1978,3240785594585.069,1438487275305.9177,180044619.29369783,879029791085.6456
1979,3344165369637.9443,1487723627137.4092,187417255.86289567,873725067275.0444
1980,3450045785254.8125,1538239070949.6597,195206496.03402215,868191967386.5996
1981,3558448213912.5703,1590054082441.39,203433580.36056638,862424021183.1758
1982,3669398928859.707,1643187681943.6682,212118006.29636753,856414692707.9119
1983,3782924966773.5093,1697658212476.4521,221277773.6842023,850157363100.7809
1984,3899053889309.9663,1753483554088.1233,230929501.2187794,843645325810.4064
1985,4017813378144.7495,1810681271928.6707,241088530.41396832,836871783016.8093
1986,4139230977297.5107,1869268695549.7478,251769045.01860556,829829843359.1501
1987,4263329303452.8584,1929261751928.752,262984212.96145532,822512751652.1161
1988,4390131723283.5483,1990675803498.062,274746346.87051356,814913695598.0466
1989,4519660791918.425,2053525991896.9622,287067075.687585,807025771595.2098
1990,4651943732694.244,2117828614905.3132,299957504.1107446,798841714423.661
1991,4787005890124.639,2183600263412.0562,313428371.8024204,790354099868.7128
1992,4924871909959.648,2250857271748.473,327490207.38761306,781555409398.825
1993,5065565609009.919,2319615718699.793,342153493.05274904,772438027359.6025
1994,5209110047898.791,2389891409313.0205,357428817.9730528,762994239688.3018
1995,5355613271012.79,2461699863967.938,373327018.2865359,753216233052.9023
1996,5504968910162.129,2535064803885.3896,389859302.12705755,743095864722.4614
1997,5656997906952.061,2609995440630.9805,407037360.4175315,732625238000.8589
1998,5812250696225.624,2686481934088.899,424873925.3982632,721796887171.9272
1999,5970678564667.207,2764571004833.289,443383126.0856468,710601813221.4852
2000,6132248988501.359,2844296465200.368,462581713.7278782,699031113549.8701
2001,6296940939379.721,2925683208989.896,482492830.6875707,687075923214.4801
2002,6464733084401.449,3008748101519.092,503146569.1029953,674727739048.172
2003,6635607105754.955,3093502279508.5815,524579071.1394745,661978246946.9962
2004,6809548164270.343,3179953401986.4775,546831140.7942102,648819133451.2617
2005,6986542322382.947,3268106606395.191,569946827.1449425,635242077368.0813
2006,7166575766109.573,3357965054100.509,593972210.0339254,621238745509.9497
2007,7349634208889.438,3449530312173.2925,618954471.6400644,606800788496.7388
2008,7535755156839.794,3542802630765.439,644941250.7844465,591919833819.3589
2009,7725068648686.237,3634619131432.3765,671980245.4363962,576676134315.9944
2010,7916386601964.529,3722521486186.4326,700119017.9707649,561144801548.6968
2011,8108521864281.526,3806979849499.4995,729405327.7389331,545330922207.4435
2012,8300772149279.87,3888253774775.4175,759883653.9015048,529243550658.0493
2013,8492453602639.885,3966482301819.129,791585580.286536,512894013468.77264
2014,8682944093681.008,4041711362705.906,824524658.7141061,496295602685.5438
2015,8871580136117.723,4112245750600.196,858696090.776558,479510126660.0814
2016,9056824611866.236,4172210048525.5386,894078316.7744629,462723945607.20935
2017,9235935109487.006,4223276662404.826,930635286.9225292,445960575933.86566
2018,9405215145662.057,4268423563050.9224,968315584.8372844,429250526961.8087
2019,9564020581877.932,4307378755601.873,1007040595.471019,412631604130.158
2020,9711732557678.717,4339924610783.649,1046698700.876622,396140484822.41766
2021,9844712921509.996,4360716991154.146,1087146003.604948,380031867317.1266
2022,9951269189272.549,4353344730532.3833,1128209421.3337736,365048637922.75684
2023,10027569303749.27,4321065460018.2915,1169690568.1621203,351174317141.115
2024,10073263093683.93,4266882939498.8203,1211355035.8085246,338389843734.9214
2025,10089325229643.197,4193726255135.711,1252876805.2496333,326666361057.39465
2026,10076416905826.816,4104458523478.087,1293804771.9945538,315964562928.3639
2027,10035913306667.54,4001801360524.254,1333569358.8529696,306238505748.22644
2028,9969474844760.725,3888321686553.784,1371512349.8891685,297436882357.63
2029,9880320181313.467,3768258361932.3037,1406920482.883902,289430320114.34344
2030,9773149693740.057,3647380375162.3784,1439061818.4751592,282012102020.10114
2031,9650015350136.562,3526188171898.8706,1467221175.1534152,275163661926.0126
2032,9512695957340.236,3405202798507.529,1490737580.7786307,268862920831.39084
2033,9362055137880.764,3286114215146.1465,1509046490.5014699,262963987635.1449
2034,9197738866336.092,3170397435301.4062,1521709919.1468096,257314942617.04587
2035,9021596690465.688,3057795786620.1987,1528431633.7751172,251912261285.41626
